Course/Major,Honor's received,Honor's received after graduation,Academic Certifications,Technical Skills,Graduation Term,Employment Status
0,5,2,3,13,0,Employed
2,5,1,3,36,0,Employed
3,5,1,3,39,0,Employed
0,5,1,3,22,0,Employed
3,5,1,3,26,0,Employed
0,5,1,3,28,1,Employed
3,5,1,3,13,0,Employed
4,5,1,3,13,0,Employed
2,5,1,3,13,0,Employed
4,3,1,1,18,0,Employed
3,5,1,3,13,0,Employed
4,5,1,3,15,1,Employed
4,5,1,2,14,0,Unemployed
4,5,1,3,26,0,Employed
4,3,1,0,35,0,Employed
4,5,1,3,41,0,Unemployed
3,5,1,3,48,0,Employed
4,3,1,2,37,0,Employed
4,5,1,3,39,1,Employed
0,5,1,3,0,0,Unemployed
4,6,1,0,54,0,Unemployed
3,5,1,3,33,0,Employed
0,3,1,0,2,0,Unemployed
3,5,1,3,29,0,Employed
4,8,1,0,35,0,Employed
3,3,1,0,14,0,Unemployed
3,5,1,3,46,1,Employed
3,5,1,3,1,0,Employed
0,4,1,2,2,1,Employed
2,3,1,1,14,0,Unemployed
2,5,1,3,17,0,Employed
2,5,1,3,14,0,Employed
3,5,1,3,6,0,Employed
4,8,1,1,25,0,Unemployed
3,5,1,3,14,0,Employed
2,5,1,3,34,0,Employed
4,3,1,1,6,0,Unemployed
2,5,1,3,0,0,Employed
3,5,1,3,28,0,Employed
0,5,1,3,35,0,Employed
3,5,1,3,14,0,Employed
4,1,1,1,23,0,Employed
4,6,1,0,32,0,Employed
4,5,1,3,26,0,Unemployed
0,3,1,0,53,0,Employed
3,5,1,3,47,0,Employed
0,5,1,3,47,0,Employed
0,3,1,0,54,0,Employed
3,5,1,0,24,0,Employed
4,3,1,1,2,0,Employed
0,3,1,1,24,0,Employed
3,5,1,3,47,0,Employed
4,5,1,3,29,0,Employed
4,2,1,0,36,0,Employed
0,3,1,1,47,0,Unemployed
2,5,1,3,17,0,Employed
2,1,1,1,28,0,Employed
3,1,1,2,14,0,Unemployed
4,5,1,3,17,0,Employed
4,3,1,1,14,0,Employed
3,5,1,3,29,1,Employed
4,5,1,3,31,0,Employed
2,8,1,2,9,0,Employed
3,5,1,3,2,0,Employed
4,6,1,1,8,0,Employed
3,5,1,3,0,0,Employed
0,3,1,3,46,0,Employed
3,5,1,3,35,0,Employed
4,3,1,1,47,0,Employed
4,5,1,3,2,1,Employed
3,5,1,3,2,0,Employed
3,5,1,3,39,0,Unemployed
4,5,1,3,28,0,Employed
3,5,1,3,41,1,Employed
2,5,1,3,41,0,Unemployed
0,8,1,2,39,0,Employed
3,5,1,3,0,1,Employed
4,5,1,3,4,0,Employed
2,3,1,0,47,0,Employed
2,8,1,1,0,0,Unemployed
3,5,1,3,4,1,Unemployed
4,5,1,3,35,1,Employed
3,5,1,0,0,1,Unemployed
3,5,1,3,10,1,Employed
3,5,1,3,0,0,Unemployed
4,3,1,3,41,1,Employed
4,5,1,3,53,0,Employed
4,5,1,3,10,0,Employed
4,5,1,3,41,1,Employed
3,3,1,1,0,1,Employed
3,5,1,3,0,0,Unemployed
2,5,1,3,34,1,Unemployed
4,5,1,3,39,0,Unemployed
3,5,1,3,2,1,Employed
3,5,1,3,3,0,Unemployed
3,5,1,3,44,0,Employed
4,3,1,0,47,0,Unemployed
3,5,1,3,28,0,Employed
0,5,1,3,41,0,Employed
2,5,1,3,11,0,Employed
3,5,1,3,2,0,Employed
4,5,1,3,53,0,Unemployed
3,5,1,3,47,0,Unemployed
3,5,1,3,39,0,Employed
3,5,1,3,35,0,Employed
3,5,1,3,2,0,Employed
3,5,1,3,28,0,Unemployed
3,5,1,3,41,0,Employed
3,5,1,3,28,0,Unemployed
3,3,1,0,32,0,Employed
3,5,1,3,39,0,Employed
3,5,1,3,2,0,Employed
4,5,1,3,43,1,Employed
2,5,1,3,28,1,Employed
3,5,1,3,2,0,Employed
2,3,1,0,30,0,Employed
3,5,1,0,2,1,Unemployed
3,5,1,3,42,1,Employed
3,5,1,3,43,0,Unemployed
3,5,1,3,47,0,Unemployed
3,5,1,3,14,0,Employed
3,5,1,3,45,0,Employed
3,5,1,3,46,1,Employed
4,5,1,3,2,1,Unemployed
3,5,1,3,42,1,Employed
4,5,1,3,41,0,Employed
3,5,1,3,41,0,Employed
3,5,1,3,14,0,Unemployed
3,5,1,3,2,0,Employed
3,5,1,3,2,0,Unemployed
3,5,1,3,14,0,Employed
4,3,1,0,14,0,Employed
3,3,1,0,47,0,Employed
3,5,1,3,8,0,Employed
4,5,1,3,14,0,Employed
3,5,1,3,7,1,Unemployed
3,5,1,3,48,0,Employed
3,5,1,3,15,0,Unemployed
2,3,1,0,36,0,Unemployed
4,5,1,3,15,1,Employed
4,5,1,3,12,0,Employed
4,5,1,3,47,0,Employed
3,5,1,3,15,1,Employed
3,5,1,3,13,0,Employed
4,5,1,3,2,0,Employed
3,5,1,3,2,0,Employed
4,3,1,0,53,0,Employed
3,3,1,3,41,0,Employed
2,5,1,3,36,1,Unemployed
4,3,1,0,49,0,Employed
4,5,1,3,8,0,Unemployed
2,5,1,3,13,0,Employed
4,3,1,0,20,0,Employed
1,3,1,0,46,0,Unemployed
4,5,1,3,35,0,Employed
2,5,1,3,42,1,Employed
0,1,1,0,36,0,Employed
2,3,1,0,43,0,Employed
3,5,1,3,0,1,Employed
4,5,1,3,27,0,Employed
4,5,1,3,14,0,Employed
3,5,1,3,41,0,Employed
2,5,1,3,14,0,Employed
3,5,1,3,17,0,Employed
2,5,1,3,14,1,Employed
2,5,1,3,14,1,Employed
3,5,1,3,14,0,Employed
4,8,1,2,28,0,Employed
2,5,1,3,17,0,Employed
0,5,1,3,24,1,Employed
4,5,1,3,27,0,Employed
4,0,1,3,53,0,Employed
3,5,1,3,14,1,Employed
0,5,1,3,53,1,Employed
4,5,1,3,28,0,Employed
2,5,1,3,23,0,Employed
3,5,1,3,45,1,Employed
3,5,1,3,14,0,Employed
3,5,1,3,40,0,Employed
4,6,1,0,35,0,Employed
0,5,1,3,39,0,Employed
3,5,1,3,32,0,Employed
4,5,1,3,47,1,Employed
3,5,1,3,22,0,Unemployed
2,5,1,3,8,0,Employed
2,5,1,3,36,0,Employed
3,3,1,0,41,0,Unemployed
2,5,1,3,29,0,Employed
3,5,1,3,17,0,Employed
4,5,1,3,34,0,Employed
3,5,1,3,15,0,Unemployed
3,5,1,3,11,1,Unemployed
3,5,1,3,41,0,Employed
3,5,1,3,41,1,Employed
3,5,1,3,14,1,Employed
3,5,1,3,14,0,Employed
0,3,1,2,38,0,Employed
3,5,1,3,2,0,Employed
2,5,1,3,37,0,Employed
4,8,0,1,2,0,Unemployed
3,5,1,3,0,0,Employed
2,5,1,3,2,1,Employed
4,5,1,3,43,1,Employed
4,6,1,0,12,0,Employed
3,5,1,3,29,1,Employed
4,5,1,3,47,0,Employed
4,6,1,0,43,0,Employed
3,5,1,3,51,0,Employed
4,5,1,3,0,0,Employed
3,5,1,3,41,1,Employed
3,5,1,3,52,1,Employed
3,3,1,0,43,0,Employed
3,3,1,3,0,0,Employed
3,5,1,3,0,0,Employed
2,5,1,3,53,0,Employed
2,5,1,3,16,0,Employed
0,5,1,0,35,0,Employed
2,5,1,3,20,0,Employed
4,3,1,0,21,0,Employed
3,5,1,3,41,0,Employed
2,5,1,3,28,0,Employed
2,6,2,0,20,0,Employed
3,5,1,3,47,0,Employed
4,5,1,3,19,0,Employed
3,5,1,3,45,0,Employed
4,5,1,3,5,1,Unemployed
3,5,1,3,50,0,Employed
4,5,1,3,28,0,Employed
2,3,1,3,2,0,Employed
4,5,1,3,6,0,Employed
4,5,1,3,37,0,Employed
4,5,1,3,20,0,Employed
4,3,1,3,22,0,Employed
3,5,1,3,28,0,Employed
3,3,1,1,2,1,Employed
0,5,1,3,2,0,Unemployed
3,5,1,3,14,0,Unemployed
3,5,1,3,0,0,Employed
