Year Graduated,Graduation Term,Course/Major,What honor's have you received during college days?,Did you received any Latin Honors after Graduation?,Are you involved in any Student Organization during your college days?,How many academic award certifications have you received during your college days?,How many technical certifications have you received during your college days?,Do you have any portfolio related to your course/ major when you applied for your first job?,Technical Skills (Please select the option that best describes your skill set after graduation),Is your first job aligned with the programs/courses offered by the SOC/CICT?,What is your employment status 1 year after graduation?,How long did it take before you got hired right after graduation?,How many interviews did you go through before landing your first job after graduation?,How many job offers have you received before you decided to accept your first job?
2019,October,IT major in Network Administration,None,None,NO,none,9-12,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,YES,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,NO,none,6-8,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,4 - 6
2018,March,IT major in Web Development,None,None,YES,none,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,4 - 6,4 - 6
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,1-2,No,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Unemployed,Unemployed
2020,March,IT major in Network Administration,None,None,YES,none,1-2,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,3-5,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,NO,none,1-2,Yes,"N. Web Development, Web Design",No,Unemployed,Unemployed,Not Applicable,Not Applicable
2020,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,1-2,3-5,Yes,"N. Web Development, Web Design",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Web Development,Dean's lister,None,YES,3-5,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2020,March,IT major in Network Administration,None,None,YES,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,October,IT major in Network Administration,None,None,NO,none,3-5,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,October,IT major in Network Administration,None,None,NO,none,1-2,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Animation,None,None,YES,none,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,Computer Science,None,None,NO,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,7 - 10,7 - 10
2018,March,Computer Science,Dean's lister,None,YES,6-8,6-8,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,President's Lister and Dean's Lister,None,NO,6-8,3-5,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,1-2,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,3-5,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,Dean's lister,None,YES,1-2,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,None,None,NO,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2016,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,Computer Science,None,None,YES,none,3-5,No,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,None,None,YES,3-5,9-12,Yes,"N. Web Development, Web Design",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,None,None,NO,none,1-2,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,Yes,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,YES,none,6-8,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,None,None,NO,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,Dean's lister,None,YES,1-2,1-2,Yes,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,None,None,YES,1-2,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,7 - 1 year,7 - 10,7 - 10
2018,March,IT major in Animation,President's Lister and Dean's Lister,None,YES,3-5,1-2,Yes,"N. Web Development, Web Design",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,None,None,YES,none,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,1 - 2 years,4 - 6,4 - 6
2016,March,IT major in Animation,None,None,NO,none,1-2,No,"N. Web Development, Web Design",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2014,March,IT major in Network Administration,Dean's lister,None,NO,1-2,3-5,Yes,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Animation,None,None,YES,none,1-2,No,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,3-5,none,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,7 - 10,1 - 3
2017,March,IT major in Network Administration,President's Lister,None,YES,1-2,more than 12,Yes,"A. Computer Networking, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT,Dean's lister,None,YES,1-2,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,7 - 10,7 - 10
2018,March,IT major in Network Administration,None,None,YES,none,3-5,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2019,October,IT major in Network Administration,None,None,NO,1-2,3-5,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,none,No,"B. Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,NO,none,6-8,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Network Administration,Dean's lister,None,YES,1-2,3-5,Yes,"B. Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,1-2,1-2,No,"B. Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Network Administration,Dean's lister,None,YES,1-2,1-2,No,"B. Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2021,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2021,March,IT major in Network Administration,None,None,YES,none,6-8,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,none,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,October,IT major in Network Administration,None,None,NO,none,3-5,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,October,IT major in Network Administration,None,None,NO,none,3-5,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,Yes,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,6-8,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,3-5,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,3-5,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,Dean's lister,None,NO,3-5,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,1-2,1-2,Yes,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2021,October,IT major in Animation,None,None,YES,none,1-2,Yes,"N. Web Development, Web Design",No,Unemployed,Unemployed,Not Applicable,Not Applicable
2014,October,IT major in Network Administration,None,None,YES,none,1-2,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2022,March,IT major in Network Administration,None,None,YES,3-5,1-2,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,President's Lister,None,NO,6-8,6-8,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2012,March,IT major in Network Administration,Dean's lister,None,NO,1-2,3-5,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",Yes,Unemployed,1 - 2 years,More than 10,1 - 3
2018,March,IT major in Animation,None,None,YES,none,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,4 - 6,4 - 6
2019,October,IT major in Animation,None,None,YES,none,3-5,Yes,"N. Web Development, Web Design",No,Unemployed,Unemployed,1 - 3,Not Applicable
2020,March,IT major in Network Administration,None,None,NO,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,1 - 3,Not Applicable
2018,March,IT major in Network Administration,None,None,YES,1-2,1-2,No,"C. Computer Networking, Web Development, Web Design, Motion Design, Photography, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,6-8,6-8,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,1 - 3,1 - 3
2014,March,IT major in Network Administration,President's Lister and Dean's Lister,None,NO,3-5,none,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,4 - 6,1 - 3
2018,March,Computer Science,None,None,NO,none,1-2,No,"E. Programming, Computer Networking, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,Computer Science,None,None,NO,none,3-5,Yes,"E. Programming, Computer Networking, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Web Development,None,None,NO,none,3-5,No,"N. Web Development, Web Design",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2017,October,Computer Science,None,None,YES,none,none,No,"E. Programming, Computer Networking, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,1 - 3,Not Applicable
2018,March,Computer Science,Dean's lister,None,YES,3-5,3-5,Yes,"E. Programming, Computer Networking, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2015,March,Computer Science,President's Lister and Dean's Lister,None,YES,6-8,3-5,No,"E. Programming, Computer Networking, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,6-8,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,Not Applicable,Not Applicable
2018,March,IT major in Network Administration,None,None,YES,3-5,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,Dean's lister,None,YES,1-2,6-8,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,9-12,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,1-2,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,NO,none,1-2,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Unemployed,Unemployed
2020,March,IT major in Network Administration,None,None,NO,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2021,March,IT major in Network Administration,None,None,YES,none,none,No,"A. Computer Networking, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2018,March,IT major in Network Administration,None,None,YES,1-2,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,Dean's lister,None,YES,3-5,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,9-12,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,YES,none,9-12,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,NO,none,3-5,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,NO,none,3-5,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,7 - 10,7 - 10
2018,March,IT major in Network Administration,Dean's lister,None,YES,3-5,6-8,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,3-5,Yes,"N. Web Development, Web Design",Yes,Contractual,Before/After graduation to 2 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,none,6-8,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,none,6-8,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,9-12,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Animation,None,None,NO,none,1-2,No,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2017,October,IT major in Network Administration,None,None,NO,none,1-2,No,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2017,October,IT major in Network Administration,Dean's lister,None,YES,3-5,1-2,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,October,IT major in Animation,None,None,YES,1-2,1-2,Yes,"N. Web Development, Web Design",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2017,October,IT major in Network Administration,None,None,NO,none,none,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,7 - 1 year,7 - 10,7 - 10
2018,October,Computer Science,None,None,YES,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2017,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,3-5,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,NO,none,6-8,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,October,IT major in Network Administration,None,None,YES,none,1-2,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,3-5,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
