Year Graduated,Graduation Term,Course/Major,What honor's have you received during college days?,Did you received any Latin Honors after Graduation?,Are you involved in any Student Organization during your college days?,How many academic award certifications have you received during your college days?,How many technical certifications have you received during your college days?,Do you have any portfolio related to your course/ major when you applied for your first job?,Technical Skills (Please select the option that best describes your skill set after graduation),Is your first job aligned with the programs/courses offered by the SOC/CICT?,What is your employment status 1 year after graduation?,How long did it take before you got hired right after graduation?,How many interviews did you go through before landing your first job after graduation?,How many job offers have you received before you decided to accept your first job?
2018,March,IT major in Web Development,President's Lister and Dean's Lister,None,YES,3-5,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,None,None,YES,none,1-2,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,1-2,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,President's Lister and Dean's Lister,None,YES,9-12,9-12,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,3-5,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,Computer Science,None,None,YES,none,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Contractual,3 - 6 months,7 - 10,7 - 10
2018,March,IT major in Animation,None,None,YES,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Web Development,None,None,NO,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,Dean's lister,None,YES,1-2,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Web Development,None,None,NO,none,6-8,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,Computer Science,Dean's lister,None,YES,3-5,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,Computer Science,None,None,NO,none,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",No,Contractual,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,3-5,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,Computer Science,None,None,YES,none,1-2,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,President's Lister and Dean's Lister,None,YES,3-5,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2010 and below,October,IT major in Animation,None,None,NO,none,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2018,March,IT major in Animation,None,None,YES,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,None,None,NO,none,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,Not Applicable,Unemployed,Unemployed
2018,March,IT major in Animation,None,None,YES,none,1-2,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Part time,3 - 6 months,4 - 6,4 - 6
2019,March,IT major in Web Development,President's Lister and Dean's Lister,Magna Cum Laude,NO,6-8,1-2,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,Dean's lister,None,NO,1-2,none,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Unemployed,1 - 2 years,4 - 6,1 - 3
2019,October,IT major in Web Development,None,None,NO,none,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,Dean's lister,None,NO,1-2,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,3-5,No,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",No,Unemployed,Not Applicable,Not Applicable,Not Applicable
2019,March,IT major in Web Development,None,None,NO,none,9-12,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister,None,NO,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,NO,none,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,NO,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Network Administration,None,None,YES,none,1-2,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Web Development,President's Lister and Dean's Lister,None,YES,3-5,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,9-12,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,9-12,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Web Development,Dean's lister,None,NO,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,None,None,NO,none,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister,None,YES,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,None,None,YES,1-2,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,Dean's lister,Magna Cum Laude,NO,6-8,6-8,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2017,March,IT major in Web Development,President's Lister and Dean's Lister,Summa Cum laude,YES,more than 12,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Unemployed,1 - 2 years,4 - 6,1 - 3
2018,March,Computer Science,None,None,YES,none,3-5,Yes,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2017,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,3-5,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2017,October,IT major in Web Development,None,None,YES,1-2,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Unemployed,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,President's Lister and Dean's Lister,Magna Cum Laude,YES,6-8,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2017,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2018,October,IT major in Web Development,None,None,NO,none,1-2,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Network Administration,None,None,YES,none,1-2,No,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Network Administration,Dean's lister,None,YES,3-5,3-5,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Contractual,3 - 6 months,4 - 6,4 - 6
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,7 - 1 year,4 - 6,4 - 6
2018,March,IT major in Network Administration,None,None,YES,3-5,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,4 - 6,4 - 6
2017,March,IT major in Web Development,Dean's lister,None,YES,1-2,none,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2017,March,IT major in Web Development,President's Lister and Dean's Lister,None,YES,6-8,none,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,None,None,NO,none,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,NO,none,none,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2013,March,IT major in Web Development,None,None,NO,none,none,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2020,March,IT major in Web Development,None,None,YES,3-5,1-2,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,3-5,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Animation,None,None,YES,none,1-2,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Animation,None,None,YES,none,3-5,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2021,March,IT major in Animation,None,None,NO,none,none,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2021,March,IT major in Animation,None,None,YES,none,3-5,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Animation,None,None,YES,none,3-5,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,October,IT major in Animation,None,None,NO,none,1-2,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2020,October,IT major in Animation,None,None,NO,none,none,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,October,IT major in Web Development,None,None,YES,1-2,1-2,Yes,"N. Web Development, Web Design",Yes,Business Owner,Unemployed,Not Applicable,Not Applicable
2014,March,IT major in Network Administration,None,None,NO,none,1-2,No,"G. Programming, Database Management, Microsoft Programs",Yes,Full time,3 - 6 months,1 - 3,Not Applicable
2014,March,IT major in Network Administration,None,None,NO,none,1-2,Yes,"A. Computer Networking, Database Management, Microsoft Programs",Yes,Full time,7 - 1 year,1 - 3,Not Applicable
2019,October,IT major in Animation,None,None,NO,none,none,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,October,IT major in Animation,None,None,NO,none,1-2,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Animation,None,None,NO,none,none,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Animation,None,None,NO,none,1-2,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,3-5,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2022,March,IT major in Web Development,President's Lister and Dean's Lister,None,YES,3-5,1-2,Yes,"N. Web Development, Web Design",No,Business Owner,Unemployed,Not Applicable,Not Applicable
2018,March,IT major in Animation,None,None,YES,none,1-2,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2017,March,IT major in Animation,Dean's lister,None,YES,6-8,none,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Animation,Dean's lister,None,NO,none,none,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2017,March,IT major in Animation,None,None,NO,none,none,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2017,March,IT major in Web Development,Dean's lister,With Honor,NO,3-5,3-5,Yes,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Part time,3 - 6 months,1 - 3,0
2011,March,IT major in Animation,Dean's lister,None,NO,1-2,3-5,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Animation,None,None,NO,none,1-2,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,1 - 2 years,Not Applicable,1 - 3
2020,March,IT major in Animation,None,None,YES,none,none,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2020,March,IT major in Web Development,None,None,NO,1-2,none,Yes,"N. Web Development, Web Design",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Web Development,None,None,NO,none,none,Yes,"N. Web Development, Web Design",No,Unemployed,1 - 2 years,More than 10,1 - 3
2018,March,IT major in Web Development,None,None,NO,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Animation,None,None,YES,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Animation,None,None,YES,none,none,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2010 and below,March,IT major in Network Administration,None,None,NO,none,none,No,"M. Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,7 - 1 year,1 - 3,Not Applicable
2019,October,IT major in Animation,None,None,NO,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,October,IT major in Web Development,None,None,YES,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister,None,NO,1-2,3-5,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2014,March,IT major in Network Administration,President's Lister and Dean's Lister,None,YES,3-5,3-5,Yes,"F. Programming, Computer Networking, Web Development, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,4 - 6,4 - 6
2020,March,IT major in Web Development,None,None,NO,none,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Web Development,None,None,NO,none,none,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,October,IT major in Web Development,None,None,YES,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,3-5,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,3-5,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2019,March,IT major in Web Development,President's Lister,None,NO,1-2,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,Dean's lister,None,NO,1-2,none,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2016,March,IT major in Animation,None,None,YES,3-5,3-5,Yes,"M. Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,4 - 6,1
2019,March,IT major in Web Development,None,None,NO,none,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,None,None,NO,none,6-8,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2019,March,IT major in Web Development,None,None,NO,none,1-2,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2020,March,IT major in Web Development,None,None,NO,none,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,NO,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,None,None,YES,none,6-8,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2013,March,IT major in Animation,President's Lister and Dean's Lister,Magna Cum Laude,NO,more than 12,none,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,Not Applicable,Not Applicable
2018,March,IT major in Web Development,None,None,YES,none,9-12,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Animation,None,None,YES,none,3-5,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,IT major in Animation,Dean's lister,None,YES,1-2,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Animation,President's Lister and Dean's Lister,None,YES,3-5,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2019,March,IT major in Web Development,Dean's lister,None,YES,1-2,9-12,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Contractual,3 - 6 months,4 - 6,Not Applicable
2019,March,IT major in Web Development,Dean's lister,None,YES,none,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,Dean's lister,None,NO,3-5,1-2,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,President's Lister and Dean's Lister,None,NO,3-5,none,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,3 - 6 months,1 - 3,1 - 3
2018,March,Computer Science,Dean's lister,None,YES,3-5,6-8,No,"K. Programming, Web Development, Web Design, Motion Design, Database Management, Microsoft Programs",No,Full time,Before/After graduation to 2 months,Not Applicable,4 - 6
2017,March,IT major in Web Development,Dean's lister,None,YES,6-8,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Unemployed,1 - 2 years,4 - 6,1 - 3
2017,March,Computer Science,President's Lister,None,NO,none,none,No,"L. Programming, Web Development, Web Design, Motion Design, Microsoft Programs",No,Full time,3 - 6 months,1 - 3,Not Applicable
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,6-8,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2017,March,IT major in Web Development,None,None,NO,none,none,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2020,March,IT major in Network Administration,None,None,NO,none,none,Yes,"D. Programming, Computer Networking, Database Management, Microsoft Programs",Yes,Full time,Before/After graduation to 2 months,1 - 3,Not Applicable
2018,October,IT major in Web Development,Dean's lister,None,NO,none,3-5,Yes,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",No,Full time,Before/After graduation to 2 months,1 - 3,1 - 3
2018,March,IT major in Web Development,Dean's lister,None,YES,1-2,9-12,No,"O. Web Development, Web Design, Motion Design, Microsoft Programs, Photography",Yes,Full time,3 - 6 months,1 - 3,1 - 3